scan_root: C:\Users\Colton S Covert\Documents\GitHub\Pathways-Into-Darkness-Unity\data\hfs
file_count: 145

path	size	appledouble_or_rsrc	has_resource_map	data_fork_note
  Pathways_Extras/pidmaps/pid maps/wrong_way.pict.rsrc x1
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x2
  Pathways_Extras/Torch 0.9.1 folder/Torch Docs.rsrc x5
  PID_Japanese_1/Pathways Installer.rsrc x12
'PLPC'  ** not in v2.0 app fork **
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x1
'PMul'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
'POpt'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'PPrf'  ** not in v2.0 app fork **
  Pathways_Extras/pidmaps/pid maps/ascension.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/beware_of.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/but_wait_a.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/but_wait_b.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/dark.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/dust.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/earthquake_zone.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/evil_undead.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/fools_dare_tread.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/ground_floor.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/happy_carnage.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/hungry.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/lasciate.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/lock&load.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/need_a_light.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/never_stop_firing.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/plague_of_demons.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/poisoned_a.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/poisoned_b.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/power.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/slow.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/step.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/summary.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/surfing.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/welcome_tasty.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/wrong_way.pict.rsrc x1
'PREC'  ** not in v2.0 app fork **
  Pathways_Extras/pidmaps/pid maps/ascension.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/beware_of.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/but_wait_a.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/but_wait_b.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/dark.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/dust.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/earthquake_zone.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/evil_undead.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/fools_dare_tread.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/ground_floor.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/happy_carnage.pict.rsrc x1
